Rank ;Platform ;Year ;Genre ;Publisher
66;X360 ;2012;Shooter ;Microsoft Game Studios
67;PS ;1997;Role-Playing ;Sony Computer Entertainment
68;PS3 ;2013;Shooter ;Activision
69;Wii ;2010;Misc ;Ubisoft
70;PS ;1999;Racing ;Sony Computer Entertainment
71;X360 ;2007;Shooter ;Activision
72;SNES ;1994;Platform ;Nintendo
73;X360 ;2013;Misc ;Microsoft Game Studios
74;3DS ;2012;Simulation ;Nintendo
75;DS ;2007;Misc ;Nintendo
76;X360 ;2011;Role-Playing ;Bethesda Softworks
77;SNES ;1992;Racing ;Nintendo
78;PS4 ;2015;Sports ;Electronic Arts
79;Wii ;2010;Misc ;Nintendo
80;XB ;2004;Shooter ;Microsoft Game Studios
81;Wii ;2007;Misc ;Nintendo
82;DS ;2012;Role-Playing ;Nintendo
83;PS3 ;2012;Action ;Electronic Arts
84;PC ;2009;Simulation ;Electronic Arts
85;N64 ;1997;Shooter ;Nintendo
86;Wii ;2007;Sports ;Sega
87;PS2 ;2001;Role-Playing ;Sony Computer Entertainment
88;PS ;1999;Role-Playing ;SquareSoft
89;DS ;2008;Role-Playing ;Nintendo
90;2600;1982;Puzzle ;Atari
91;PSP ;2005;Action ;Take-Two Interactive
92;Wii ;2010;Platform ;Nintendo
93;PS4 ;2015;Shooter ;Electronic Arts
94;PS4 ;2014;Shooter ;Activision
95;N64 ;1998;Action ;Nintendo
96;PS ;1997;Platform ;Sony Computer Entertainment
97;NES ;1988;Platform ;Nintendo
98;3DS ;2014;Fighting ;Nintendo
99;X360 ;2008;Shooter ;Activision
100;X360 ;2011;Shooter ;Electronic Arts
101;Wii ;2006;Action ;Nintendo
102;XOne ;2015;Shooter ;Activision
103;Wii ;2009;Misc ;Ubisoft
104;PS3 ;2011;Shooter ;Electronic Arts
105;PS2 ;2003;Racing ;Electronic Arts
106;PS ;1998;Fighting ;Sony Computer Entertainment
107;PS ;1998;Platform ;Sony Computer Entertainment
108;GC ;2001;Fighting ;Nintendo
109;WiiU ;2014;Racing ;Nintendo
110;PS4 ;2015;Role-Playing ;Bethesda Softworks
111;GC ;2003;Racing ;Nintendo
112;Wii ;2012;Misc ;Ubisoft
113;PS3 ;2013;Sports ;Electronic Arts
114;PS2 ;2004;Racing ;Electronic Arts
115;PS2 ;2002;Shooter ;Electronic Arts
116;PS3 ;2011;Action ;Sony Computer Entertainment
117;PS ;1996;Platform ;Sony Computer Entertainment
118;Wii ;2010;Sports ;505 Games
119;X360 ;2008;Shooter ;Microsoft Game Studios
120;PS3 ;2009;Action ;Sony Computer Entertainment
121;PS3 ;2007;Shooter ;Activision
122;PS3 ;2011;Sports ;Electronic Arts
123;DS ;2005;Misc ;Nintendo
124;PS3 ;2010;Action ;Take-Two Interactive
125;PS4 ;2014;Sports ;Electronic Arts
126;Wii ;2010;Platform ;Nintendo
127;PS3 ;2011;Role-Playing ;Bethesda Softworks
128;NES ;1986;Action ;Nintendo
129;PS3 ;2012;Action ;Ubisoft
130;XB ;2001;Shooter ;Microsoft Game Studios
131;GBA ;2004;Role-Playing ;Nintendo
132;PS2 ;2002;Role-Playing ;Sony Computer Entertainment
133;GB ;2000;Role-Playing ;Nintendo
134;X360 ;2009;Shooter ;Microsoft Game Studios
135;X360 ;2010;Action ;Take-Two Interactive
136;GC ;2002;Platform ;Nintendo
137;SNES ;1992;Fighting ;Capcom
138;PC ;2004;Role-Playing ;Activision
139;PS ;1999;Action ;GT Interactive
140;X360 ;2010;Sports ;Microsoft Game Studios
141;X360 ;2011;Shooter ;Microsoft Game Studios
142;X360 ;2006;Shooter ;Microsoft Game Studios
143;PS2 ;2001;Action ;Konami Digital Entertainment
144;GEN ;1992;Platform ;Sega
145;PS3 ;2008;Action ;Konami Digital Entertainment
146;PS ;1998;Action ;Konami Digital Entertainment
147;PS3 ;2013;Action ;Sony Computer Entertainment Europe
148;PS2 ;2006;Role-Playing ;Square Enix
149;PS3 ;2008;Platform ;Sony Computer Entertainment
150;DS ;2009;Role-Playing ;Nintendo
151;Wii ;2007;Action ;LucasArts
152;PS ;1998;Action ;Virgin Interactive
153;PS ;1996;Fighting ;Sony Computer Entertainment
154;DS ;2006;Simulation ;505 Games
155;PS4 ;2014;Shooter ;Activision
156;NES ;1988;Puzzle ;Nintendo
157;PS3 ;2009;Action ;Ubisoft
158;N64 ;1999;Fighting ;Nintendo
159;X360 ;2007;Adventure ;Ubisoft
160;PS3 ;2011;Action ;Warner Bros. Interactive Entertainment
161;X360 ;2009;Racing ;Microsoft Game Studios
162;PSP ;2008;Role-Playing ;Capcom
163;GBA ;2001;Platform ;Nintendo
164;GBA ;2001;Racing ;Nintendo
165;GBA ;2001;Platform ;Nintendo
166;N64 ;1999;Strategy ;Nintendo
167;PS3 ;2008;Shooter ;Activision
168;PS2 ;2001;Platform ;Universal Interactive
169;PS3 ;2014;Misc ;Sony Computer Entertainment
170;PS3 ;2009;Role-Playing ;Square Enix
171;GB ;1989;Puzzle ;Nintendo
172;GB ;1999;Misc ;Nintendo
173;X360 ;2012;Action ;Ubisoft
174;PS ;2000;Role-Playing ;SquareSoft
175;PS2 ;2003;Role-Playing ;Electronic Arts
176;N64 ;1999;Platform ;Nintendo
177;X360 ;2009;Action ;Ubisoft
178;DS ;2007;Puzzle ;Nintendo
179;PS ;1997;Action ;Eidos Interactive
180;PS2 ;N/A ;Sports ;Electronic Arts
181;PS2 ;2004;Role-Playing ;Square Enix
182;PC ;2012;Role-Playing ;Activision
183;GBA ;2003;Platform ;Nintendo
184;WiiU ;2012;Platform ;Nintendo
185;GB ;1994;Platform ;Nintendo
186;X360 ;2012;Action ;Electronic Arts
187;DS ;2007;Action ;Nintendo
188;SNES ;1995;Platform ;Nintendo
189;3DS ;2013;Simulation ;Nintendo
190;DS ;2008;Sports ;Sega
191;PS2 ;2003;Shooter ;Electronic Arts
192;GB ;1992;Platform ;Nintendo
193;X360 ;2010;Role-Playing ;Microsoft Game Studios
194;XOne ;2014;Shooter ;Activision
195;PC ;1996;Simulation ;Microsoft Game Studios
196;PS2 ;2006;Misc ;RedOctane
197;PS3 ;2009;Action ;Capcom
198;XOne ;2014;Action ;Take-Two Interactive
199;PSP ;2006;Action ;Take-Two Interactive
200;PS3 ;2010;Sports ;Electronic Arts
201;GB ;1999;Platform ;Nintendo
202;PS ;1996;Action ;Virgin Interactive
203;PS ;1999;Sports ;Activision
204;WiiU ;2014;Fighting ;Nintendo
205;PS ;1999;Strategy ;Eidos Interactive
206;PS ;1998;Platform ;Sony Computer Entertainment
207;Wii ;2007;Shooter ;Nintendo
208;PS2 ;2007;Misc ;Activision
209;X360 ;2008;Role-Playing ;Bethesda Softworks
210;DS ;2007;Role-Playing ;Nintendo
211;PS3 ;2007;Action ;Sony Computer Entertainment
212;PS2 ;2005;Sports ;Electronic Arts
213;DS ;2007;Action ;LucasArts
214;N64 ;1997;Racing ;Nintendo
215;PSP ;2010;Role-Playing ;Capcom
216;NES ;1990;Puzzle ;Nintendo
217;PS3 ;2010;Action ;Sony Computer Entertainment
218;PC ;2010;Strategy ;Activision
219;PS3 ;2007;Adventure ;Ubisoft
220;PS3 ;2014;Sports ;Electronic Arts
221;PS ;1999;Racing ;Sony Computer Entertainment
222;PS4 ;2016;Sports ;Electronic Arts
223;X360 ;2011;Action ;Warner Bros. Interactive Entertainment
224;PS ;2000;Action ;Atari
225;PS2 ;2003;Racing ;Vivendi Games
226;PS ;2000;Sports ;Activision
227;Wii ;2008;Simulation ;Nintendo
228;PS2 ;2002;Action ;Electronic Arts
229;X360 ;2011;Racing ;Microsoft Game Studios
230;PS ;1996;Action ;Eidos Interactive
231;Wii ;2007;Misc ;Activision
232;SNES ;1991;Action ;Nintendo
233;GC ;2002;Action ;Nintendo
234;Wii ;2009;Sports ;Sega
235;3DS ;2013;Action ;Nintendo
236;WiiU ;2015;Shooter ;Nintendo
237;PS4 ;2014;Action ;Sony Computer Entertainment
238;X360 ;2007;Misc ;Activision
239;PS2 ;2004;Sports ;Electronic Arts
240;2600;1981;Platform ;Activision
241;PS2 ;2006;Sports ;Electronic Arts
242;PS2 ;2002;Action ;Activision
243;PS ;2000;Role-Playing ;Enix Corporation
244;PS4 ;2015;Action ;Sony Computer Entertainment
245;PS3 ;2014;Shooter ;Activision
246;PS2 ;2005;Action ;Sony Computer Entertainment
247;WiiU ;2012;Misc ;Nintendo
248;Wii ;2010;Misc ;Ubisoft
249;PS2 ;2001;Sports ;Activision
250;PS2 ;2006;Sports ;Konami Digital Entertainment
251;X360 ;2006;Role-Playing ;Take-Two Interactive
252;NES ;1987;Adventure ;Nintendo
253;PS2 ;2005;Racing ;Electronic Arts
254;PS3 ;2006;Shooter ;Sony Computer Entertainment
255;GEN ;1991;Platform ;Sega
256;PS2 ;2005;Role-Playing ;Square Enix
257;X360 ;2013;Sports ;Electronic Arts
258;X360 ;2014;Shooter ;Activision
259;2600;1980;Shooter ;Atari
260;X360 ;2008;Role-Playing ;Microsoft Game Studios
261;XOne ;2015;Shooter ;Microsoft Game Studios
262;WiiU ;2013;Platform ;Nintendo
263;PS3 ;2009;Action ;Eidos Interactive
264;PS3 ;2011;Action ;Ubisoft
265;GBA ;2001;Misc ;Namco Bandai Games
266;PS2 ;2004;Action ;Konami Digital Entertainment
267;PSP ;2006;Platform ;Sony Computer Entertainment
268;PC ;1995;Strategy ;Activision
269;3DS ;2011;Action ;Nintendo
270;PS2 ;2005;Sports ;Electronic Arts
271;PS2 ;2003;Misc ;Sony Computer Entertainment
272;PS4 ;2016;Shooter ;Sony Computer Entertainment
273;PS3 ;2007;Racing ;Sony Computer Entertainment
274;X360 ;2011;Action ;Ubisoft
275;PS3 ;2009;Fighting ;Capcom
276;X360 ;2011;Sports ;Electronic Arts
277;NES ;1989;Action ;Palcom
278;NES ;1984;Racing ;Nintendo
279;PS ;1997;Action ;Hasbro Interactive
280;PS2 ;2002;Sports ;Electronic Arts
281;PS4 ;2014;Action ;Ubisoft
282;PC ;1997;Shooter ;Vivendi Games
283;SNES ;1995;Platform ;Nintendo
284;PS2 ;2006;Sports ;Electronic Arts
285;Wii ;2011;Action ;Nintendo
286;SNES ;1992;Fighting ;Capcom
287;Wii ;2007;Misc ;Take-Two Interactive
288;XOne ;2015;Role-Playing ;Bethesda Softworks
289;PC ;2007;Role-Playing ;Activision
290;X360 ;2010;Role-Playing ;Bethesda Softworks
291;PS2 ;2007;Action ;Sony Computer Entertainment
292;X360 ;2007;Racing ;Microsoft Game Studios
293;PS2 ;2005;Sports ;Konami Digital Entertainment
294;PS ;1996;Misc ;Sony Computer Entertainment
295;PS2 ;2000;Fighting ;Namco Bandai Games
296;PS4 ;2014;Shooter ;Ubisoft
297;N64 ;1997;Shooter ;Nintendo
298;PS4 ;2014;Misc ;Sony Computer Entertainment Europe
299;NES ;1984;Sports ;Nintendo
300;PS3 ;2008;Role-Playing ;Bethesda Softworks
301;DS ;2007;Puzzle ;Nintendo
302;X360 ;2009;Shooter ;Electronic Arts
303;PS2 ;2005;Misc ;Namco Bandai Games
304;Wii ;2009;Sports ;Electronic Arts
305;PS4 ;2014;Action ;Ubisoft
306;GB ;1994;Platform ;Nintendo
307;PS2 ;2003;Sports ;Activision
308;PS3 ;2013;Action ;Ubisoft
309;3DS ;2014;Role-Playing ;Nintendo
310;PS3 ;2006;Racing ;Sony Computer Entertainment
311;PC ;2011;Role-Playing ;Bethesda Softworks
312;PS2 ;2005;Fighting ;Namco Bandai Games
313;NES ;1988;Role-Playing ;Enix Corporation
314;PS3 ;2010;Sports ;Sony Computer Entertainment
315;PS4 ;2015;Sports ;Take-Two Interactive
316;PS2 ;2004;Sports ;Konami Digital Entertainment
317;DS ;2007;Misc ;Nintendo
318;PS ;1995;Misc ;Sony Computer Entertainment
319;GB ;1992;Action ;Nintendo
320;DS ;2009;Role-Playing ;Nintendo
321;Wii ;2007;Misc ;Nintendo
322;3DS ;2011;Simulation ;Nintendo
323;PS4 ;2015;Action ;Warner Bros. Interactive Entertainment
324;Wii ;2011;Sports ;Sega
325;X360 ;2008;Action ;Activision
326;PS ;1996;Action ;Virgin Interactive
327;PSP ;2007;Platform ;Sony Computer Entertainment
328;Wii ;2013;Misc ;Ubisoft
329;PC ;2002;Simulation ;Electronic Arts
330;Wii ;2007;Platform ;Nintendo
331;PS ;2001;Action ;Electronic Arts
332;PS4 ;2015;Role-Playing ;Namco Bandai Games
333;PS ;1999;Action ;Eidos Interactive
334;PS ;2000;Platform ;Sony Computer Entertainment
335;PS2 ;2004;Sports ;Electronic Arts
336;GB ;1998;Strategy ;Nintendo
337;PS3 ;2013;Shooter ;Electronic Arts
338;DS ;2007;Simulation ;Electronic Arts
339;DS ;2009;Misc ;Nintendo
340;PS2 ;2002;Sports ;Activision
341;PSP ;2005;Racing ;Take-Two Interactive
342;N64 ;1998;Platform ;Nintendo
343;PS2 ;2002;Shooter ;Sony Computer Entertainment
344;Wii ;2008;Misc ;Activision
345;PS3 ;2013;Racing ;Sony Computer Entertainment
346;PS2 ;2001;Platform ;Sony Computer Entertainment
347;N64 ;1999;Simulation ;Nintendo
348;PS3 ;2009;Sports ;Electronic Arts
349;PS2 ;2007;Sports ;Konami Digital Entertainment
350;PS4 ;2013;Shooter ;Activision
351;PS2 ;2005;Action ;Capcom
352;PS4 ;2016;Shooter ;Ubisoft
353;PS2 ;2004;Shooter ;LucasArts
354;PC ;1994;Shooter ;Virgin Interactive
355;PS2 ;2001;Racing ;Electronic Arts
356;DS ;2007;Simulation ;505 Games
357;GC ;2001;Action ;Nintendo
358;PS2 ;2005;Shooter ;LucasArts
359;PS ;2000;Fighting ;THQ
360;PS ;1997;Platform ;Fox Interactive
361;PS2 ;2006;Action ;Take-Two Interactive
362;PS2 ;2002;Action ;Sony Computer Entertainment
363;PS ;1997;Action ;Eidos Interactive
364;PS2 ;2001;Shooter ;Electronic Arts
365;PS2 ;2005;Action ;Eidos Interactive
366;X360 ;2013;Shooter ;Electronic Arts
367;X360 ;2010;Sports ;Electronic Arts
368;PS ;2000;Action ;THQ
369;PS ;1999;Platform ;Sony Computer Entertainment
370;X360 ;2008;Shooter ;Electronic Arts
371;DS ;2009;Sports ;Sega
372;X360 ;2009;Action ;Capcom
373;SNES ;1996;Platform ;Nintendo
374;X360 ;2010;Action ;Ubisoft
375;NES ;1985;Action ;Nintendo
376;X360 ;2009;Action ;Eidos Interactive
377;DS ;2006;Misc ;Nintendo
378;PS2 ;N/A ;Sports ;Electronic Arts
379;XOne ;2015;Shooter ;Electronic Arts
380;X360 ;2010;Shooter ;Electronic Arts
381;DS ;2008;Misc ;Activision
382;XOne ;2014;Action ;Ubisoft
383;PS3 ;2012;Shooter ;Ubisoft
384;3DS ;2013;Role-Playing ;Capcom
385;X360 ;2009;Shooter ;Take-Two Interactive
386;PS2 ;2002;Fighting ;Namco Bandai Games
387;PS4 ;2013;Shooter ;Electronic Arts
388;PS3 ;2011;Platform ;Sony Computer Entertainment
389;PS ;1998;Action ;Take-Two Interactive
390;SNES ;1994;Role-Playing ;SquareSoft
391;PS2 ;2004;Action ;Activision
392;GB ;1990;Racing ;Nintendo
393;PS2 ;2002;Sports ;Electronic Arts
394;PS ;2000;Misc ;Sony Computer Entertainment
395;X360 ;2008;Action ;Warner Bros. Interactive Entertainment
396;PS4 ;2015;Action ;Konami Digital Entertainment
397;DS ;2009;Action ;Nintendo
398;PS ;1998;Fighting ;Acclaim Entertainment
399;N64 ;2000;Action ;Nintendo
400;DS ;2008;Puzzle ;Nintendo
401;PS ;1998;Adventure ;THQ
402;X360 ;2013;Action ;Ubisoft
403;DS ;2006;Misc ;Nintendo
404;PS2 ;2002;Shooter ;Electronic Arts
405;PS2 ;2002;Platform ;Sony Computer Entertainment
406;Wii ;2012;Misc ;Nintendo
407;PS2 ;2005;Action ;LucasArts
408;PS2 ;2001;Shooter ;Take-Two Interactive
409;PS2 ;2003;Action ;Electronic Arts
410;PS4 ;2015;Action ;Ubisoft
411;XOne ;2014;Shooter ;Activision
412;PS2 ;2003;Action ;Activision
413;Wii ;2008;Misc ;Nintendo
414;PSP ;2009;Racing ;Sony Computer Entertainment
415;3DS ;2015;Action ;Capcom
416;PS ;1995;Fighting ;Sony Computer Entertainment
417;XOne ;2015;Sports ;Electronic Arts
418;PS3 ;2011;Adventure ;Take-Two Interactive
419;PS4 ;2015;Sports ;Electronic Arts
420;3DS ;2014;Role-Playing ;Nintendo
421;PS ;1999;Shooter ;Electronic Arts
422;NES ;1983;Sports ;Nintendo
423;SNES ;1995;Fighting ;Nintendo
424;PS ;2000;Fighting ;THQ
425;PSP ;2007;Role-Playing ;Square Enix
426;PSP ;2008;Action ;Sony Computer Entertainment
427;SNES ;1995;Role-Playing ;Enix Corporation
428;X360 ;2010;Misc ;MTV Games
429;PS2 ;2003;Action ;Atari
430;WiiU ;2015;Platform ;Nintendo
431;PS3 ;2010;Role-Playing ;Bethesda Softworks
432;Wii ;N/A ;Action ;Warner Bros. Interactive Entertainment
433;DS ;2008;Misc ;Nintendo
434;PS2 ;2001;Simulation ;Sony Computer Entertainment Europe
435;DS ;2008;Adventure ;Disney Interactive Studios
436;GC ;2001;Simulation ;Nintendo
437;DS ;2008;Action ;Warner Bros. Interactive Entertainment
438;DS ;2005;Platform ;Sega
439;PS3 ;2012;Shooter ;Capcom
440;XOne ;2014;Shooter ;Microsoft Game Studios
441;PS2 ;2007;Sports ;Electronic Arts
442;PS ;2000;Action ;Activision
443;PS ;1998;Racing ;Electronic Arts
444;N64 ;1999;Racing ;Nintendo
445;DS ;2006;Misc ;Nintendo
446;PS3 ;2007;Role-Playing ;Ubisoft
447;NES ;1990;Role-Playing ;Enix Corporation
448;PS3 ;2010;Adventure ;Sony Computer Entertainment
449;X360 ;2010;Role-Playing ;Electronic Arts
450;X360 ;2014;Sports ;Electronic Arts
451;PS2 ;2002;Fighting ;Atari
452;PS2 ;2001;Sports ;Electronic Arts
453;NES ;1986;Sports ;Namco Bandai Games
454;X360 ;2012;Shooter ;Take-Two Interactive
455;3DS ;2013;Action ;Nintendo
456;GB ;1994;Platform ;Nintendo
457;PC ;2002;Simulation ;Electronic Arts
458;X360 ;2012;Role-Playing ;Electronic Arts
459;X360 ;2008;Action ;Activision
460;X360 ;2012;Shooter ;Ubisoft
461;Wii ;2010;Platform ;Disney Interactive Studios
462;X360 ;2008;Action ;THQ
463;PS ;1995;Platform ;Ubisoft
464;PS3 ;2009;Shooter ;Sony Computer Entertainment
465;XB ;2002;Action ;Ubisoft
466;NES ;1987;Fighting ;Nintendo
467;PS2 ;2002;Sports ;THQ
468;XOne ;2015;Shooter ;Microsoft Game Studios
469;X360 ;2012;Sports ;Take-Two Interactive
470;PS2 ;2007;Fighting ;Atari
471;PS2 ;N/A ;Fighting ;N/A
472;PS4 ;2014;Action ;Warner Bros. Interactive Entertainment
473;SNES ;1993;Shooter ;Nintendo
474;PC ;2000;Misc ;Electronic Arts
475;PS2 ;2002;Sports ;Konami Digital Entertainment
476;PS2 ;2001;Action ;Capcom
477;3DS ;2015;Simulation ;Nintendo
478;PS3 ;2010;Shooter ;Electronic Arts
479;PC ;2014;Simulation ;Electronic Arts
480;PC ;2011;Role-Playing ;Electronic Arts
481;PS2 ;2003;Platform ;Sega
482;DS ;2008;Platform ;Nintendo
483;PS2 ;2002;Action ;Eidos Interactive
484;X360 ;2009;Fighting ;Capcom
485;N64 ;1996;Racing ;Nintendo
486;PS2 ;2003;Shooter ;Sony Computer Entertainment
487;PS2 ;2005;Fighting ;THQ
488;PS3 ;2009;Action ;Sony Computer Entertainment
489;GBA ;2001;Puzzle ;Atari
490;X360 ;2007;Role-Playing ;Microsoft Game Studios
491;Wii ;2006;Puzzle ;Nintendo
492;Wii ;2007;Simulation ;505 Games
493;GBA ;2002;Platform ;Nintendo
494;PS4 ;2013;Sports ;Electronic Arts
495;XOne ;2014;Shooter ;Electronic Arts
496;PS2 ;2004;Misc ;Sega
497;X360 ;2008;Sports ;Sega
498;PS2 ;2003;Sports ;Konami Digital Entertainment
499;PS3 ;2012;Racing ;Electronic Arts
500;PS2 ;2001;Sports ;Sony Computer Entertainment
501;PS2 ;2004;Shooter ;Activision
502;Wii ;2011;Sports ;Majesco Entertainment
503;PS ;1999;Shooter ;Sony Computer Entertainment
504;DS ;2007;Simulation ;Ubisoft
505;PS ;1998;Racing ;Codemasters
506;XOne ;2013;Shooter ;Activision
507;X360 ;2012;Sports ;Electronic Arts
508;XB ;2002;Role-Playing ;Ubisoft
509;PS3 ;2011;Fighting ;Warner Bros. Interactive Entertainment
510;SNES ;1990;Racing ;Nintendo
511;N64 ;1997;Platform ;Nintendo
512;PC ;1996;Strategy ;Virgin Interactive
513;Wii ;2011;Action ;Activision
514;PS3 ;2015;Sports ;Electronic Arts
515;PS3 ;2010;Action ;Ubisoft
516;X360 ;2007;Shooter ;Take-Two Interactive
517;X360 ;2009;Sports ;Electronic Arts
518;PS3 ;2010;Shooter ;Electronic Arts
519;PS2 ;2002;Fighting ;THQ
520;GC ;2002;Shooter ;Nintendo
521;GBA ;2003;Action ;THQ
522;PC ;1994;Adventure ;Red Orb
523;PS3 ;2010;Racing ;Electronic Arts
524;DS ;2007;Simulation ;Ubisoft
525;PS2 ;2003;Fighting ;THQ
526;X360 ;2008;Action ;LucasArts
527;DS ;2006;Platform ;Nintendo
528;PS ;1997;Sports ;Sony Computer Entertainment
529;PS3 ;2011;Shooter ;Sony Computer Entertainment
530;PS ;1998;Platform ;Sony Computer Entertainment
531;PS2 ;2001;Fighting ;THQ
532;SNES ;1992;Role-Playing ;Enix Corporation
533;PS ;1996;Fighting ;GT Interactive
534;PC ;2011;Shooter ;Electronic Arts
535;PS2 ;2001;Sports ;Electronic Arts
536;DS ;2009;Puzzle ;Nintendo
537;3DS ;2011;Role-Playing ;Nintendo
538;PS2 ;2003;Platform ;Sony Computer Entertainment
539;PS4 ;2014;Action ;Sony Computer Entertainment
540;PS2 ;2003;Platform ;Sony Computer Entertainment
541;PS3 ;2009;Fighting ;Namco Bandai Games
542;PS2 ;2003;Simulation ;Electronic Arts
543;Wii ;2007;Platform ;Sega
544;X360 ;2011;Action ;THQ
545;2600;1980;Shooter ;Atari
546;SNES ;1992;Misc ;Nintendo
547;PS4 ;2013;Action ;Ubisoft
548;N64 ;2000;Strategy ;Nintendo
549;NES ;1986;Action ;Nintendo
550;X360 ;2011;Adventure ;Take-Two Interactive
551;X360 ;2006;Shooter ;Activision
552;GBA ;2002;Action ;Nintendo
553;PS2 ;2001;Action ;Virgin Interactive
554;PS4 ;2015;Fighting ;Warner Bros. Interactive Entertainment
555;N64 ;1998;Misc ;Nintendo
556;X360 ;2011;Sports ;Electronic Arts
557;PS2 ;2006;Action ;LucasArts
558;X360 ;2010;Sports ;Electronic Arts
559;DS ;2010;Puzzle ;Nintendo
560;X360 ;2010;Sports ;Electronic Arts
561;PS2 ;2004;Racing ;Electronic Arts
562;3DS ;2014;Role-Playing ;Level 5
563;PS3 ;2009;Racing ;Electronic Arts
564;PS3 ;2011;Role-Playing ;Square Enix
565;GEN ;1992;Fighting ;Arena Entertainment
566;PS2 ;2005;Shooter ;Activision
567;X360 ;2008;Misc ;Activision
568;PS ;1998;Shooter ;Electronic Arts
569;XB ;2004;Role-Playing ;Microsoft Game Studios
570;DS ;2006;Action ;Disney Interactive Studios
571;PS2 ;2003;Action ;Ubisoft
572;Wii ;2012;Action ;Activision
573;PSP ;2006;Shooter ;Electronic Arts
574;NES ;1986;Platform ;Nintendo
575;N64 ;1996;Action ;Nintendo
576;X360 ;2007;Action ;LucasArts
577;PS2 ;2000;Racing ;Take-Two Interactive
578;PSP ;2006;Fighting ;Sony Computer Entertainment
579;X360 ;2009;Strategy ;Microsoft Game Studios
580;PS3 ;2009;Action ;Sony Computer Entertainment
581;PS2 ;2004;Sports ;Sega
582;Wii ;2007;Sports ;Nintendo
583;X360 ;2010;Shooter ;Electronic Arts
584;X360 ;2009;Sports ;Electronic Arts
585;X360 ;2011;Sports ;Take-Two Interactive
586;DS ;2008;Simulation ;Nintendo
587;PS2 ;2002;Action ;Electronic Arts
588;Wii ;2010;Platform ;Nintendo
589;GEN ;1990;Action ;Sega
590;PS3 ;2008;Sports ;Electronic Arts
591;PS3 ;2007;Platform ;Sony Computer Entertainment
592;PS2 ;2004;Sports ;Electronic Arts
593;PSP ;2009;Platform ;Sony Computer Entertainment
594;PS4 ;2013;Shooter ;Sony Computer Entertainment
595;X360 ;2009;Action ;Take-Two Interactive
596;PSP ;2007;Role-Playing ;Capcom
597;PS2 ;2006;Fighting ;THQ
598;PS2 ;2004;Platform ;Sony Computer Entertainment
599;DS ;2010;Misc ;Nintendo
600;X360 ;2009;Role-Playing ;Electronic Arts
601;PS2 ;2007;Sports ;Electronic Arts
602;GC ;2001;Platform ;Sega
